,physics.atm-clus,math.SG,math.GR,math.GM,physics.atom-ph,math.MG,q-fin.PR,cs.IT,physics.soc-ph,astro-ph.HE,cs.GL,physics.hist-ph,cond-mat.supr-con,eess.AS,physics.bio-ph,astro-ph.EP,math.RT,eess.SP,cs.HC,q-bio.TO,math.DS,stat.ML,cs.MM,math.ST,math.NT,cs.DB,math.PR,stat.ME,physics.chem-ph,cond-mat.soft,cond-mat.mtrl-sci,cs.CY,cond-mat.other,q-bio.SC,math.FA,cs.GT,math.GN,cs.DL,cs.PL,cond-mat.str-el,physics.plasm-ph,math.HO,cs.PF,physics.geo-ph,cs.SC,cs.OS,physics.data-an,eess.SY,cs.MS,math.AT,math.GT,math.AP,math.LO,stat.AP,cond-mat.quant-gas,astro-ph.SR,math.QA,math.OC,q-fin.MF,q-fin.EC,q-bio.MN,math.CV,cond-mat.mes-hall,econ.TH,math.NA,physics.gen-ph,physics.space-ph,hep-th,physics.class-ph,cond-mat.dis-nn,cs.ET,physics.ao-ph,cs.FL,q-bio.NC,cs.CG,cs.RO,q-bio.GN,q-fin.CP,cs.AI,physics.flu-dyn,physics.med-ph,cs.MA,nlin.PS,cond-mat.stat-mech,q-fin.GN,q-bio.PE,cs.OH,cs.CV,nlin.CG,cs.IR,hep-ph,astro-ph.GA,cs.SD,eess.IV,nlin.CD,nucl-th,cs.CE,physics.comp-ph,q-fin.PM,math.CT,cs.AR,hep-lat,math.DG,physics.pop-ph,math.SP,math.IT,cs.CC,astro-ph,cs.NA,q-bio.OT,nlin.SI,cs.NI,cs.NE,math.CA,astro-ph.CO,math.KT,q-fin.TR,cs.LO,physics.acc-ph,math.AC,econ.EM,q-bio.CB,math.CO,cs.SI,cs.SE,physics.ed-ph,q-fin.RM,stat.TH,stat.OT,cs.GR,physics.app-ph,q-bio.BM,cs.DS,econ.GN,nucl-ex,nlin.AO,math.OA,stat.CO,cs.LG,cs.DC,math-ph,math.MP,gr-qc,q-bio.QM,quant-ph,cs.CL,hep-ex,physics.ins-det,physics.optics,math.AG,cs.SY,astro-ph.IM,cs.CR,cs.DM,math.RA,q-fin.ST
68N20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14Q15,0,1,0,0,0,0,0,7,0,7,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,1,0,1,0,11,13,0,7,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,72,0,4,0,1,6,5,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,1,0,0
17C20,0,0,0,0,0,0,0,26,0,0,7,0,6,1,0,0,1,4,9,0,0,1,10,0,0,25,1,1,0,0,1,0,18,27,1,1,1,0,0,0,11,0,5,29,4,3,0,0,0,1,54,0,0,11,1,3,0,0,22,212,0,5,1,6,0,234,2,0,234,0,0,0,4,2,10,0,2,0,1,0,0,0,0,1,4,1,14,0,38,0,15,0,1,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,37,0,0,0,0,6,0,7,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,15,0,1,0,0,0,0,0,0,1,102,0,3,0,0,1,0,0,16,0,0
57P99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68V20,0,1,0,1,0,0,4,2,1,0,3,0,0,0,0,9,1,3,71,0,0,1,14,0,0,6,3,21,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,19,0,1,1,0,0,4,0,0,1,0,0,1,0,0,0,6,0,6,0,1,0,1,1,1,1,0,0,0,0,0,12,2,1,2,0,0,2,0,0,1,0,1,0,0,2,3,0,0,0,0,14,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,3,3,1,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,1,0,0,0,0,2,0,0,1,0,0,0,0
62R40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17B10,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,19,0,0,1,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,31,0,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,11,0,0,0,1,3,2,0,0,0,0,4,2,0,171,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,8,0,0,0,3,0,0,0,0,2,0,0,0,4,24,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,53,0,1,0,0,0
53C18,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0
14J81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
