0;Keyword Entity Name;QID SPARQL;Score SPARQL;QID Pywikibot;Score Pywikibot;QID Benchmark;Score Benchmark;Comment;;;;
1;laguerre polynomial;N/A;0;N/A;0;Q1124546;2;;;;;
2;linear mean;N/A;;N/A;;N/A;0;"""linear mean"" does not exist in wikidata and wikipedia.";;;;
3;lebesgue constant;N/A;0;Q6511314;2;Q6511314;2;;;;;
4;weighted lebesgue space;N/A;;N/A;;N/A;0;"""weighted lebesgue space"" does not exist in wikidata and wikipedia. (Q305936) refers to ""Lp space"", which redirects from wikipedia. (Q6511321) refers to disambiguation page for ""Lebesgue space"".";;;;
5;positive solution;N/A;;N/A;;N/A;0;"""positive solution"" does not exist in wikidata and wikipedia.";;;;
6;singular nonlinearities;N/A;;N/A;;N/A;0;"""singular nonlinearities"" does not exist in wikidata and wikipedia.";;;;
7;degree theory;N/A;;N/A;;N/A;0;"""degree theory"" does not exist in wikidata and wikipedia. (Q7825029) refers to ""Topological degree theory"".";;;;
8;periodic boundary value problem;N/A;;N/A;;N/A;0;"""periodic boundary value problem"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name ""periodic boundary value problem"" with QID for ""scholarly article"".";;;;
9;sturmliouville problem;N/A;;N/A;;Q1154082;2;"(https://de.wikipedia.org/wiki/Sturm-Liouville-Problem) redirects to  (https://www.wikidata.org/wiki/Q1154082). Space or hyphen missing in the ""sturmliouville"".";;;;
10;eigenvalue;N/A;;N/A;;Q3553768;2;;;;;
11;boundary value problem;Q6403067;1;Q1332643;2;Q1332643;2;;;;;
12;lotkavolterra equation;N/A;;N/A;;Q150052;2;"Space or hyphen missing in the ""lotkavolterra"".";;;;
13;global attractor;N/A;;N/A;;N/A;0;"""global attractor"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name ""global attractor"" with QID for ""scholarly article"".";;;;
14;arnoldliouville;N/A;;N/A;;Q14943261;1;;;;;
15;hyperbolicity;N/A;;N/A;;N/A;0;"""hyperbolicity"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name ""hyperbolicity"" with QID for ""scholarly article"".";;;;
16;periodic orbit;N/A;;N/A;;Q56657330;2;;;;;
17;algorithmic information theory;N/A;0;Q1757543;2;Q1757543;2;;;;;
18;lower bound;N/A;;N/A;;Q12254923;2;;;;;
19;multiparty communication complexity;N/A;0;Q6934835;2;Q6934835;2;;;;;
20;boolean function;N/A;0;Q942353;2;Q942353;2;;;;;
21;counting protocol;N/A;;N/A;;N/A;0;"""counting protocol"" does not exist in wikidata and wikipedia.";;;;
22;newton;Q12438;2;Q568182;0;Q12438;1;Q12438 refers to SI unit of the force and Q568182 refers to disambiguation page. ;;;;
23;gravitation;Q11412;2;N/A;0;Q11412;2;"(Q11412) refers to ""gravity"".";;;;
24;potential;Q1202245;2;Q1202245;2;Q1202245;2;"""potential"" refers to human quality not ""physical quantity"".";;;;
25;homogeneous sphere;N/A;;N/A;;N/A;0;"""homogeneous sphere"" does not exist in wikidata and wikipedia. But several wikidata items exist which contain keyword entity name ""homogeneous sphere"" with QID for ""scholarly article"".";;;;
26;`` archimedes computation volume '';N/A;;N/A;;N/A;0;"""archimedes computation volume"" does not exist in wikidata and wikipedia. Unexpected quotation ""``"" and "" "" "" marks present.";;;;
27;potential theory;Q1154848;2;Q1154848;2;Q1154848;2;;;;;
28;hypercomplex system;N/A;;N/A;;N/A;0;"""hypercomplex system"" does not exist in wikidata and wikipedia. But FIVE wikidata items exist which contain ""hypercomplex"" and ""system"" with QID for ""scholarly article"".";;;;
29;division algebra;Q1231309;2;Q1231309;2;Q1231309;2;;;;;
30;algebraic number theory;Q613048;2;Q613048;2;Q613048;2;;;;;
