;Keyword Entity Name;QID SPARQL;Score SPARQL;QID Pywikibot;Score Pywikibot;QID Benchmark;Score Benchmark;Comment;;;;
0;laguerre polynomial;N/A;0;N/A;0;Q1124546;2;;;;;
1;linear mean;N/A;;N/A;;;;;;;;
2;lebesgue constant;N/A;0;Q6511314;2;Q6511314;2;;;;;
3;weighted lebesgue space;N/A;;N/A;;;;;;;;
4;positive solution;N/A;;N/A;;;;;;;;
5;singular nonlinearities;N/A;;N/A;;;;;;;;
6;degree theory;N/A;;N/A;;;;;;;;
7;periodic boundary value problem;N/A;;N/A;;;;;;;;
8;sturmliouville problem;N/A;;N/A;;;;;;;;
9;eigenvalue;N/A;;N/A;;;;;;;;
10;boundary value problem;Q6403067;1;Q1332643;2;Q1332643;2;;;;;
11;lotkavolterra equation;N/A;;N/A;;;;;;;;
12;global attractor;N/A;;N/A;;;;;;;;
13;arnoldliouville;N/A;;N/A;;;;;;;;
14;hyperbolicity;N/A;;N/A;;;;;;;;
15;periodic orbit;N/A;;N/A;;;;;;;;
16;algorithmic information theory;N/A;0;Q1757543;2;Q1757543;2;;;;;
17;lower bound;N/A;;N/A;;;;;;;;
18;multiparty communication complexity;N/A;0;Q6934835;2;Q6934835;2;;;;;
19;boolean function;N/A;0;Q942353;2;Q942353;2;;;;;
20;counting protocol;N/A;;N/A;;;;;;;;
21;newton;Q12438;2;Q568182;0;;;Q12438 refers to SI unit of the force and Q568182 refers to disambiguation page. ;;;;
22;gravitation;Q11412;2;N/A;0;;;;;;;
23;potential;Q1202245;2;Q1202245;2;Q1202245;2;"""potential"" refers to human quality not ""physical quantity"".";;;;
24;homogeneous sphere;N/A;;N/A;;;;;;;;
25;`` archimedes computation volume '';N/A;;N/A;;N/A;0;;;;;
26;potential theory;Q1154848;2;Q1154848;2;;;;;;;
27;hypercomplex system;N/A;;N/A;;;;;;;;
28;division algebra;Q1231309;2;Q1231309;2;Q1231309;2;;;;;
29;algebraic number theory;Q613048;2;Q613048;2;Q613048;2;;;;;
30;algebraic geometry;Q180969;2;Q180969;2;Q180969;2;;;;;
31;riemann;N/A;0;N/A;0;N/A;0;;;;;
32;complex function;Q64952105;2;N/A;2;Q64952105;2;"semantically ""complex function"" and ""complex-valued function"" (Q64952105) are closely matching";;;;
33;eigenvalue linear control system;N/A;;N/A;;;;;;;;
34;schwartz form;N/A;;N/A;;;;;;;;
35;root locus technique;N/A;;N/A;;;;;;;;
36;polynomial;Q43260;2;Q43260;2;Q43260;2;;;;;
37;height;Q190200;1;Q208826;2;Q208826;2;"(Q190200) refers to ""altitude"" and (Q208826) refers to ""height"".";;;;
38;elliptic mahler measure;N/A;;N/A;;;;;;;;
39;`` lehmers problem '';N/A;;N/A;;;;;;;;
40;entropy;Q12727673;2;Q45003;2;Q12727673;Q45003;2;2;both correct;one statistics;other physics
41;lfunctions;N/A;;N/A;;;;;;;;
42;elliptic curve;Q268493;2;Q268493;2;Q268493;2;;;;;
43;liberal art;N/A;;N/A;;;;;;;;
44;mathematical education;N/A;;N/A;;;;;;;;
45;classification mathematics;N/A;;N/A;;;;;;;;
46;prague;N/A;0;Q1085;2;Q1085;2;;;;;
47;kepler;N/A;;N/A;;Q8963;2;"It is expected to have something for ""kepler"".";;;;
48;galileo;Q500515;0;N/A;0;Q307;2;;;;;
49;tycho brahe;N/A;;N/A;;;;;;;;
50;solomon delmedigo;N/A;;N/A;;;;;;;;
51;david gans;N/A;;N/A;;;;;;;;
52;astronomy;N/A;0;Q333;2;Q333;2;;;;;
53;mathematics;Q395;2;Q395;2;Q395;2;;;;;
54;hilbert;N/A;;N/A;;;;;;;;
55;kinetic theory;Q200286;2;Q25100325;0;Q200286;2;(Q25100325) refers to disambiguation page.;;;;
56;radiation theory;N/A;;N/A;;;;;;;;
57;spectral theory;Q2409122;2;Q2409122;2;Q2409122;2;;;;;
58;maximum principle;N/A;0;Q1914255;2;Q1914255;2;"for ""maximum principle"" perfect wikipedia page is exist. But corresponding wikidata page is empty.";;;;
59;fluid flow;N/A;;N/A;;;;;;;;
61;hilbert program;N/A;0;N/A;0;;;;;;;
62;bernstein;N/A;0;Q21660706;2;Q21660706;2;"(Q21660706) refers to family name ""bernstein"". (Q77523) refers to ""Felix Bernstein"" German Jewish mathematician and (Q370530) refers to ""Joseph Bernstein"" Russian mathematician.";;;;
63;elliptic equation;N/A;0;Q107440094;2;Q107440094;2;;;;;
64;lerayschauder theory;N/A;;N/A;;;;;;;;
65;hadamard;N/A;;N/A;;;;;;;;
66;sobolev space;N/A;0;Q1501536;2;Q1501536;2;;;;;
67;schwartz theory distribution;N/A;;N/A;;;;;;;;
68;hilbert space method;N/A;;N/A;;;;;;;;
69;calderonzygmund theory;N/A;;N/A;;;;;;;;
70;hilleyosida theory;N/A;;N/A;;;;;;;;
71;degiorginash estimate;N/A;;N/A;;;;;;;;
72;gas dynamic;N/A;;N/A;;;;;;;;
73;nonlinear functional analysis;Q7049475;2;Q7049475;2;Q7049475;2;;;;;
74;differential geometry;Q188444;2;Q188444;2;Q188444;2;;;;;
75;quadratic form;Q736753;2;Q736753;2;Q736753;2;;;;;
76;positive definite ternary form;N/A;;N/A;;;;;;;;
77;reduction;Q7306360;2;Q225229;2;Q7306360;2;;;;;
78;asymptotic distribution;N/A;0;Q12345341;2;Q12345341;2;;;;;
