,de,mscs,keyword_mscs,refs_mscs,keywords_DCG,refs_DCG
0,1209932,"['42C10', '33C45', '42A45', '39A70']","['33C45', '42C05', '42C10', '33C47', '33C50', '33C10', '42A45', '30C15', '33D45', '30E15']","['33C45', '42A45', '42C10', '40G05', '40C05', '42C05', '41A30', '33C50', '42C15', '42A05']",0.1781035935540111,0.5
1,1209934,"['34B15', '34C25', '34B24']","['34B15', '34C25', '34B16', '47N20', '34B24', '35B32', '35B30', '35B45', '35J60', '31B30']","['34B15', '34L30', '34B24', '34C25', '34B05', '47J05', '34C15', '47H11', '47J25', '81V80']",1.0,0.5
2,1210195,"['94C10', '68Q30']","['68Q30', '03A05', '03D15', '94A15', '94C10', '03F30', '03D10', '03D80', '03E10', '03E35']",['68Q25'],,
3,1210196,['68M10'],['68M10'],"['68Q45', '68U20', '68N25', '68Q65', '68M10']",,
4,1210207,"['01A45', '70-03', '31-03']","['01A45', '70-03', '01A50', '65Z05', '31-03', '70M20', '01A99', '01A40', '01A20', '65H05']","['01A45', '70-03', '01A75']",1.0,1.0
5,1210208,"['16-03', '01A55', '01A60']","['16-03', '01A55', '01A60', '60E99', '43A10', '22B10', '43A80', '22D35', '34G20', '46E10']","['01A05', '01A99', '01-02', '12-01', '11R27', '11R11', '11-01', '11R23', '11Exx', '12-02']",1.0,0.0
6,1210231,"['93B60', '65F15']","['93B60', '65F15', '93C20', '74K10', '70Q05', '93D20']","['93-01', '93Bxx', '93Cxx', '93D05', '93E10', '93D20', '93C10', '93C99']",,
7,1210474,"['11R09', '11G05']","['30C15', '30C10', '65H05', '11R09', '26C10', '12D10', '12Y05', '46G25', '41A05', '41A10']","['11R09', '11R06', '32A15', '11C08', '12D10', '37B99', '37D99', '54H20', '37C25', '37C30']",,
8,1210476,"['01A55', '30-03', '01A60']","['01A55', '01A60', '30-03', '53-03', '26A27', '26-03', '35Q99', '81U20', '81Q05', '30E25']","['01A55', '30-03', '01A05', '01-02', '26-03', '33E05', '01A80', '01A70', '01A75', '55-03']",0.6309297535714575,1.0
9,1210480,"['01A40', '01A35', '01A99']","['01A40', '01A35', '01A99']","['51-01', '51M05', '51M20']",1.0,0.0
10,1210482,['01A80'],"['01A80', '01A20', '01A30', '01A40', '62-03', '85-03', '65G50', '01A45']","['20-03', '01A55', '01A60', '30F10', '78-02', '78A25', '35Q61', '55-03', '57Q45', '54-03']",,
11,1210484,"['01A60', '01A73']","['01A60', '01A55', '03A05', '03-03', '00A30', '01A73', '01A70', '03D10', '68Q05', '03B25']","['01A55', '01A60', '83-03', '51-03']",,
12,1210559,"['11H55', '11H50']","['11E04', '11E81', '15A63', '11E12', '12D15', '11H55', '11E08', '11E39', '11E16', '16K20']","['11H55', '11C08', '11E10']",,
13,1210560,"['11K41', '11J71']","['62E20', '60F05', '62H12', '05C80', '60C05', '62F12', '62F35', '11J71', '11E16', '62P20']","['11J71', '11L03', '11B13', '05B10', '28D99', '11K99', '47A35', '43-02', '22-02', '28-02']",,
14,1210561,['11M35'],"['11M06', '11F11', '11M35', '11M41', '11L40', '11F67', '11N37', '11E45', '11F72', '35P15']","['11M06', '11M35']",,
15,1210562,"['11N37', '11N13']","['11N37', '11K65', '11A25', '11N80', '11N13', '11M45', '11N99', '11K55', '60C05', '11L40']","['11N13', '11N37']",,
16,1210564,"['35H10', '35J70', '35A05', '35J25']","['35B50', '35B45', '34B05', '35J65', '34B15', '35J70', '35J25', '35D30', '35Q35', '34B27']",['35H10'],0.19342640361727081,0.0
17,1210800,"['76M10', '74S05', '65N50', '65M50']","['76M10', '74S05', '65N50', '65M50']","['76M99', '76J20', '76N10', '41A05', '41A15', '65D05', '76-02', '65-02', '76M22', '65M70']",0.8154648767857288,0.0
18,1210801,"['74S05', '76M10', '53A99']","['74S05', '76M10', '53A99', '53C22', '22F30', '43A85', '47B15', '47A58']","['74S05', '74A20', '53-01', '58-02', '53-02', '53C80', '83-02', '74B20', '74K10', '74S30']",1.0,0.0
19,1210871,"['74S15', '74R99']","['65N38', '35J05', '35J25', '65N12', '65N50', '65N55', '65R20', '65N15', '74S15', '74R99']","['74R05', '74S05', '74C99', '74-01', '74S15', '74-04', '65N38', '65R20', '74S30', '74-02']",,
20,1210872,"['74R99', '74K10', '74S20', '74C10']","['74R99', '74K10', '74S20', '74C10', '74B20', '74D99', '74S05', '74B99', '74D10']","['74R99', '74C99', '74C15', '74C20', '74P99', '74H45', '74C10', '74S05', '74S30', '74S99']",0.8154648767857288,0.0
21,1210877,"['74L15', '92C10', '35Q72']","['35B65', '35Q99', '74L15', '92C10', '35Q72', '76S05', '35D05', '35J60', '49L20', '76N15']","['74L15', '74B99', '35-XX', '74G30', '74H25', '74B20', '35Q72', '34G20']",0.5,0.0
22,1210878,"['74A20', '74S05', '74A15']","['74A20', '74S05', '74A15', '74F10', '74E10', '74E15', '74E25']","['74A60', '74M25', '74B99', '74A15', '80A22', '74S05', '74A20', '74C99', '74Axx', '74-01']",1.0,0.38685280723454163
23,1210881,"['74S05', '74A55', '74M15', '74B20']","['74S05', '74A55', '74M15', '74B20', '74B05', '74G15', '65N15', '65N30', '35J25', '35Q30']","['65N30', '65J10', '35J25', '65N15', '65N50', '74S05', '35J05', '35K05', '74B05', '74A55']",0.8154648767857288,0.0
24,1210885,"['76M10', '76R99']","['76M10', '76R99']","['35-01', '35Q30', '35K45', '35A05', '35B65', '35B40', '35K15', '35K20', '35K50', '35G10']",,
25,1210888,"['76M25', '76N10', '76V05', '76L05', '76D05']","['76M25', '76N10', '76V05', '76L05', '76D05']","['76G25', '76J20', '65Z05', '65M06', '65M12', '35L65', '76D05', '76W05', '65-02', '65N06']",0.7103099178571526,0.0
26,1211539,"['35Q40', '81Q05']","['53C27', '58J50', '58J20', '34L40', '81Q10', '53C25', '81Q05', '30G35', '58J60', '53C20']","['35-02', '35Q60', '35C20', '35J05', '35L05', '35P10', '35J55', '35Q40', '31B10', '45F15']",,
27,1211540,"['60G10', '60G25', '47B10']","['60G10', '60G25', '47B10', '30C45', '30C80', '30C50', '60J75', '60G51']","['47A50', '15A09', '47B25', '60G99', '60B10', '46E40', '47B10', '47A56', '46E30', '47B06']",1.0,0.0
28,1211541,"['49J20', '35J50', '49J45']","['49J20', '35J50', '49J45', '47A65', '47A58', '15A60', '47F05']","['49J45', '74E30', '74P99', '49J20', '35J50']",1.0,0.0
29,1211542,"['47B35', '47A68', '15A09', '45F15', '47A05', '47G10']","['47B35', '47A68', '15A09', '45F15', '47A05', '47G10']","['47-02', '47B35', '93D99', '45E10', '47A20', '47A05', '15A21', '47A53', '74J20', '35Q72']",0.6404015779112127,0.09671320180863541
30,1211543,"['35Q30', '35B50', '76D07', '47A30', '15A45']","['35Q30', '76D07', '76D05', '35J25', '35Q35', '76D03', '65N38', '93B05', '65N30', '35B50']","['35-02', '35Q30', '35C15', '76D07', '31B30', '31A30', '30E20', '35B50', '35J30', '35B30']",0.3333333333333333,0.27777777777777773
31,1211544,"['35Q30', '76D07']","['35Q30', '76D07', '46E35', '47B06', '46E10', '46A13', '76D03', '35B27']","['46E35', '46-02', '76D05', '35D10', '35Q30', '35B40', '35A05', '74G50', '76F10', '49-01']",,
32,1211545,"['31A10', '45A05', '35J05']","['31A10', '45A05', '35J05', '35A05', '34B15', '35J65', '35B40', '35D05', '35Q35', '34B18']","['44A15', '42A50', '26D15', '26Dxx', '26-02', '26A45', '45E10', '45M05', '35J05', '35C15']",1.0,0.0
33,1211546,"['44A15', '65R10', '65R30']","['35R30', '65N12', '65Z05', '65N30', '78A30', '65M06', '65N35', '35J25', '35K15', '65J10']","['33-02', '46F12', '44A20', '44A35', '00A22', '26-01', '40-01', '33-01', '44A15', '42A38']",0.0,0.0
34,1211547,"['34B15', '34L05', '34L15']","['15A18', '65F15', '15A42', '15B57', '05C50', '34L15', '15A21', '35P15', '65L15', '15B48']","['34B15', '34G20', '39Axx', '39-02', '37-XX', '35K55', '35B40', '35B35', '35A05', '35B65']",0.0,0.0
35,1211548,"['60H10', '93C35']","['60G15', '60G22', '60H05', '60G18', '60H10', '60H07', '60F05', '60J65', '60G17', '60H15']","['60H15', '60-02', '60H10', '65C99', '65-02', '60J65']",,
36,1211549,"['90C34', '49N15', '90B10', '90C08']","['90C34', '49N15', '90B10', '90C08', '90C10', '90C27', '90C35', '65K05', '90C09', '05C70']","['90C35', '90B80', '65K05', '90-01', '65-01', '90C30', '65H10', '91B60', '90C46', '90C25']",0.8154648767857288,0.0
37,1211550,"['35L65', '46F10', '35R05']","['35L65', '46F10', '35R05']","['46F10', '46G20', '46-02', '81T05', '65M99', '65N99', '35D05', '76A02', '74Axx', '76L05']",1.0,0.0
38,1211551,"['47L20', '46L51', '46L53', '46L54', '47L05', '47L30', '46L35', '46L89']","['47L20', '46L51', '46L53', '46L54', '47L05', '47L30', '46L35', '46L89']","['47L50', '47L05', '46M10', '46L60', '81T05', '46L35', '46N99', '47B10', '46N50', '81T10']",0.5507777176645691,0.23114213453909027
39,1211552,"['18D05', '18D50']","['18D05', '18D20', '18D50', '18A99', '18G55', '18D10', '57R56', '55P48']","['55P47', '55-02', '55P60', '55R05', '18D10', '81T40', '18D05', '18D20', '18E10', '46N50']",,
40,1211553,"['05E05', '05A19']","['05E05', '05A19', '33C45', '42C05', '65D20', '65Q05', '33C50', '33C70']","['05A19', '05E05', '05A17', '05B45', '05B35', '05E15', '05E35', '14M15', '19D55', '19D50']",,
41,1211554,"['53D05', '53C40']","['53C40', '53D05', '53A15', '37J99', '53C15', '53C25', '53C50', '53D12', '53C42', '53A07']","['35Q99', '35J10', '58J10', '35P20', '37J99', '53D50', '81T60', '53C80', '22E70', '81Q70']",,
42,1211557,"['28A60', '28C99']","['05C70', '05C38', '65K05', '05C15', '90C30', '49M27', '68R10', '05B05', '15A23', '05C35']","['91A05', '60B99', '60-02', '28A99', '28A60', '28-XX', '47B60', '47B38', '60A05', '60G99']",,
43,1211558,"['30F60', '37F30', '30C62', '30D05']","['37F10', '32H50', '30D05', '37F99', '37F50', '37F30', '32H04', '32U35', '37C85', '37C40']","['30F40', '30-02', '30C50', '30C55', '30C70', '30C85', '30F10', '30D40', '30D50', '30C80']",0.19342640361727081,0.0
44,1211559,"['46L80', '46L55', '19K35']","['46L80', '19K35', '18F25', '46M20', '46L55', '46M15', '55N15', '55R45', '19G38', '11R70']","['55R45', '58J20', '46L05', '46H25', '46M20', '46L80', '58J22', '43A07', '22D10', '55N15']",0.43067655807339306,0.0
45,1211560,['13D25'],"['13D25', '13D03', '13C40', '20G05', '20C30', '15A15', '14M12', '18G35', '18E25', '16E40']","['20G05', '20C30', '14M12', '13D03', '15A72', '05A17', '16W30', '13D25', '13C40', '20C20']",,
46,1211561,"['01A60', '35-02']","['01A60', '35-02', '35B50', '35J60', '49K20', '49K15', '35J65', '34B15', '35J25', '35K55']","['58E05', '35J20', '74-02', '74B20', '74A20', '35Q72', '92D25', '35K55', '58J20', '53C20']",,
47,1211566,['62M10'],"['62M10', '93E20', '49N10', '93C55', '11A55', '11J70', '40A15', '30B70', '11K50']","['62M10', '62M09', '93E11', '62E20', '60G10', '60G12', '62M20', '39A10', '62P20', '91B84']",,
48,1211577,"['62H05', '62E15', '60G10', '62E10']","['62H05', '62H12', '62E15', '60G10', '62E10', '62C20', '62C99', '62F10', '62H99', '52B55']","['62M10', '62-02', '62H05', '62H10', '60E10', '60E05', '93E10', '62E10', '65C05', '62H99']",0.5654648767857288,0.0
49,1211636,"['22E30', '43A90', '22E46']","['22E46', '22E40', '53C35', '22E30', '53C30', '43A85', '22E45', '22E15', '43A80', '22D10']","['43A85', '53C35', '58J35', '22E46', '58J45', '35S05', '35B35', '35-02', '43A22', '42C15']",0.0,0.0
50,1211637,"['46L05', '46M20', '47L10', '46H25', '18E25']","['46L07', '47L25', '46L05', '46L52', '47A20', '43A30', '43A07', '47B10', '47L55', '81P40']","['47L50', '47L05', '46M10', '47L30', '46H15', '46A13', '46K50', '46L08', '46H25', '47L55']",0.0,0.10515495892857625
51,1211638,"['22E30', '43A80', '22E25']","['22E30', '43A80', '22E25', '42A38', '42B10', '43A25', '46F12', '43A32', '43A15']","['22E25', '43A80', '22E27', '43A30', '44A12', '22D25', '41A17', '30B10', '26D15', '22D10']",1.0,1.0
52,1211640,"['37K99', '37N20', '81Q05']","['37K99', '37N20', '81Q05', '58J20', '19K56', '46L80', '58J22', '46L87', '58E05', '58J40']","['58J20', '53C20', '58J99', '58J05', '58-02', '58J35', '58J65', '60H15', '58J50', '58J70']",1.0,0.0
53,1211641,"['42B15', '44A12', '26A33']","['26A33', '42B20', '42B25', '46E30', '26D15', '47B38', '42B15', '44A12', '47G10', '42B35']","['44A12', '42C40', '26A33', '52A21', '52-02', '52B12', '43A85', '43-02', '44-02', '44A15']",0.3333333333333333,0.0
54,1211642,"['47L30', '46H25', '46L10']","['47L30', '46H25', '46L10', '47L35', '47B47', '16S50', '16W25', '47B48', '47B49', '15A78']","['47L30', '47A66', '46M07', '47A15', '46L10', '47C05', '46L05', '46H25']",1.0,0.0
55,1211643,"['42A85', '42B15']","['42A85', '42B15']","['46M35', '46E30', '46E35', '46-02', '46E15', '42B10', '26D10', '42A85', '42B15', '42-01']",,
56,1211644,"['47L35', '47L30']","['47L35', '47L30', '46L10', '47L10', '47A15', '47B15', '46L05', '47B06', '17B40', '17B60']","['47L30', '47A15', '47L10', '46B15', '47C05', '06E15', '47L05', '47B06', '43A45', '46L99']",,
57,1211645,['30D55'],"['30D50', '30D55', '46J15', '30H05', '47B35', '32A35', '47A15', '30H10', '30J05', '47B38']","['30D50', '30D55', '30D35', '47A15', '47B37', '47A55', '47B20', '47B15', '47B38', '46J15']",,
58,1211646,"['22E67', '58J65']","['47D07', '58J65', '60E15', '26D10', '60J60', '22E67', '60E05', '26B25', '52A20', '58C35']","['60H10', '60H07', '58J65', '60D05', '60B15', '60H99', '28D05', '58D20', '58D25', '22E67']",,
59,1211649,"['34C20', '34A25']","['47G10', '45D05', '34C20', '34A25', '45G15', '47H30', '93B52', '47A15', '47A16', '47L15']","['54C35', '34K05', '54C20', '34K30', '34A12', '35R10', '35R45', '35F20', '35B05', '65M99']",,
60,1211651,"['45N05', '45F15', '45M05', '42A75']","['44A35', '45E10', '46F10', '65R20', '46E10', '47B38', '45N05', '65T60', '43A05', '42A85']","['35B15', '35-02', '34C27', '47A10', '34G10', '43A60', '32N99', '34K14', '34C28', '43A45']",0.0,0.0
61,1211652,"['34D45', '92D25', '34C25', '34D20']","['92D25', '92D40', '34C25', '45J05', '70H05', '34A34', '37J99', '34A05', '37J35', '65C20']","['70-02', '70Hxx', '37J99', '92D25', '34A34', '34D30', '34C25', '34-01', '01A60', '34C05']",0.31546487678572877,0.42810359355401106
