,de,mscs,mrmscs,keyword_mscs,refs_mscs,nDCG_mrmscs,nDCG_keywords,nDCG_refs,nDCG_keywords_and_refs,nDCG_keywords_or_refs
0,5641364,['54H20'],"['37E10', '37B10', '37E45']","['37B10', '68R15', '37E99', '54H20', '37D45', '37E05', '37D35', '37D20', '37E30', '54C70']","['37B10', '37A45', '37E10', '11B85', '11J71', '11K06', '11-02', '68R15', '54H20', '11K99']",0.0,0.43067655807339306,0.3010299956639812,0.5,0.38685280723454163
1,5641738,"['57M27', '32S22', '55P62', '55R80', '20F36']","['57M27', '20F36']","['57M27', '32S22', '55P62', '55R80', '20F36', '70B15', '53C80']","['57T30', '57M25', '58A12', '55P35', '53B15', '55T20', '20F14', '20F36', '52C35', '55R80']",0.45564475157312007,1.0,0.1688918764195878,0.45564475157312007,0.5082960038469291
2,5641739,"['55M30', '55Q25', '55R70']","['55M30', '55Q25', '68T40']","['55M30', '55R80', '53C23', '57N65', '52C35', '14H10', '20F36', '20J06', '55N25', '55S35']","['55-02', '55R65', '55P42', '55P99', '55R99', '68U05', '68T40', '93C85', '55M99', '68T20']",0.8189625508803525,0.36207489823929484,0.0,0.0,0.10466311757360869
3,5641740,"['37E05', '54H20']","['37E05', '37B99', '37E20', '54H20']","['37E05', '54H20', '37B45', '54F15', '37D45', '37A99', '28D10', '26A18', '37G99', '37C20']","['37-02', '37E05', '37E10', '37E15', '37E25', '37E45', '37A05', '37B40', '37E20', '37D45']",0.8229304739169978,1.0,0.27894294565112987,0.27894294565112987,0.6710485453050854
4,5641741,['37D30'],"['37D30', '37B40']","['54H20', '54C70', '37A99', '37D30', '15B48', '15A42', '15A18', '65F10', '05C50']","['37-06', '37-02', '00B15', '54C70', '37C25', '55M20', '57Q05', '54H20', '37-XX', '55M25']",1.0,0.43067655807339306,0.0,0.0,0.26264953503719357
5,5641742,"['58D27', '53C07', '57R15']","['53C07', '53C27', '55R40', '57R15', '57R20', '58D27']","['53C07', '58D27', '53C15', '81T13', '53C25', '53C05', '57R57', '81T20', '81S40', '81Q20']","['14F05', '81T08', '53C80', '53B50', '58E15', '81T13', '53C07', '58D27', '53C27', '55R45']",1.0090606484413058,0.9525936227991185,0.35560517865312763,0.9525936227991185,0.2820356877808494
6,5641743,"['54H11', '54A25', '54A35', '22A05']","['54H11', '03E50', '20K45', '22A05']","['11G05', '14H52', '11R11', '14G05', '11G07', '14G25', '22E20', '22E60', '11R37', '11A05']","['03E40', '54A25', '54A35', '03E50', '54H11', '22A99', '54D30', '20K45', '22C05', '22A05']",0.44813168241419965,0.0,0.7635864061977872,0.0,0.5444005500472556
7,5641744,"['54C65', '54B20']","['54C65', '54B20']","['54C65', '54C60', '47H10', '54H25', '34A60', '47H04', '26E25', '54B20', '41A65', '28B20']","['54B20', '54C65', '54D05', '54F50', '54C20', '54F99', '54F65', '54F05', '54E45', '54E40']",1.0,0.7210570543488701,1.1631711630466106,1.0,0.4130834991267926
8,5641745,"['22A05', '54D25', '20K45', '20K99', '54H11']","['22A05', '54D25', '54H11']","['22E30', '43A80', '53C17', '22E25', '53C30', '22E27', '35R03', '35H20', '53C42', '58J35']","['22A05', '54H11', '22E15', '22D05', '54D30', '20K45', '20F38', '18A20', '22B05', '22D10']",0.7716008529835535,0.0,0.5551609538638544,0.0,0.22424117408106004
9,5641748,"['57M20', '57N05', '57Q15', '68R10']","['57R45', '57M20', '68R05']","['57N05', '57Q99', '58E05', '54C30', '55S99', '57R70', '68R99', '57M20', '57Q15', '68R10']","['57M20', '57Q15', '68R10', '57M15', '57R70', '58E05', '57R80', '57R60', '57Q99', '57Q05']",0.1976265077928601,0.9101102194034991,0.667472413793101,0.3676502092503162,0.5534200545072394
10,5641750,"['54C08', '03E35', '54A35']","['54C08', '03E35']","['54C08', '03E35', '54A35', '37B99', '37E99']","['54C08', '54C05', '54C10', '54A10', '54A25', '26A15', '26B05', '26A21', '03-01', '03E17']",0.8189625508803525,1.0,0.36207489823929484,0.36207489823929484,0.4035652158753563
11,5641752,"['54F05', '03E04', '06A99', '06F30']","['54F05', '03E10']","['54F05', '03E04', '06A99', '06F30', '54A20', '03E35', '06A07']","['54-01', '54F05', '54E35']",0.3132306040001605,1.0,0.1976265077928601,0.3132306040001605,0.7573331825741036
12,5641754,"['54E52', '54B10', '54B20', '91A05', '91A44']","['54E52', '54B10', '54B20', '91A44']","['54E52', '54B10', '54B20', '91A05', '91A44', '54E50', '54D70', '91A24']","['54B20', '54E50', '54C35', '54C60', '52-02', '54-02', '54C65', '54E35', '54E15', '54E05']",0.8919221070915219,1.0,0.2793773003253732,0.2793773003253732,0.7365668473512218
13,5641755,"['54C10', '54E35']","['54C10', '54E35']","['54C10', '54E35']","['54E20', '54C10', '54D20', '54D50', '54E35', '54E18', '54C35', '54A25', '54D30', '54D65']",1.0,1.0,0.6210091137865661,1.1631711630466106,1.0236996902210456
14,5641762,['57M25'],"['57M25', '57M27']","['57M25', '57M27', '57M05', '57M12', '55N35', '57M15', '05C15', '57M50']","['57M25', '57Q45', '57N10', '57M50', '57M27']",1.0,1.0,1.0,0.6309297535714575,0.43067655807339306
15,5641763,"['57N10', '57M25']","['57M25', '57N10']","['57N10', '57M50', '57M25', '57M27', '57M99', '57M05', '57M12', '57Q99', '57N16', '57R19']","['57N10', '57M27', '57M50', '57N16', '57M25', '57M99', '57R30']",1.1631711630466106,0.8842282173954805,0.7841802768331765,0.7289189753699779,0.442768084123385
16,5641764,"['57M25', '57M27', '05C10', '57M15']","['57M25', '57M15', '57M27']","['57M25', '57M27', '57N10', '57M15', '05C10', '57M50', '81T30', '57Q45', '57K10', '57M05']","['57M25', '05C10', '57M15', '05C55']",0.8240877157931812,0.9645588364691529,0.667472413793101,0.667472413793101,0.6244086074953392
17,5641767,['57M25'],"['57M25', '57M27']","['57M25', '57M27', '20F36', '57M15', '57N70', '57R17', '57N35', '57Q45', '57Q35', '55N99']","['57M25', '20F36', '57-01', '57R20', '57M12', '57M27', '05C10', '20F10', '57M15']",1.0,1.0,1.0,0.5,0.6309297535714575
18,5641769,"['57M25', '57M50']","['57M25', '57N10']","['57M25', '57N10', '57M50', '57M27', '57R58', '57R65', '57M12', '57M05', '57M99', '57M15']","['57N10', '57M25', '57R30', '57R65', '57M40', '57M50', '57M27', '55-02', '57M05', '57M10']",0.44211410869774026,0.8842282173954805,0.5939113917311147,0.6210091137865661,0.43721230051624943
19,5641770,"['57M25', '57M27']","['57M25', '57M27']","['57M25', '57M50', '57N10', '58J50', '57M27']","['57M25', '57-01', '57-02', '57M27', '57N10', '11E16', '15A63', '57Q35', '57Q20', '57Q60']",1.0,0.7841802768331765,0.8229304739169978,0.7789429456511299,0.4657758231995449
20,5641772,"['57M27', '57M25']","['57M27', '57M25']","['57M27', '57M25']","['57M25', '57M27', '57N05', '46L99', '20F36', '46L10', '57-02', '20F05']",1.0,1.0,1.1631711630466106,1.0,0.5518494492869757
21,5641774,['57M25'],['57M25'],"['57M25', '57M27', '14G32', '17B22', '17B45', '20C08', '20F36', '33D52']","['57M25', '57-01', '57M12', '57R20', '57M27', '57N13', '57R57', '57Q60', '20F05', '57M05']",1.0,1.0,1.0,0.6309297535714575,0.2890648263178879
22,5643955,"['18E30', '14A22']",['14F05'],"['18E30', '14F05', '14J32', '18G35', '14E30', '14M25', '16E40', '16D90', '14D20', '13D09']","['14F05', '15A75', '18E30', '14J28', '14E30', '14J30', '14J32', '14J50', '14E15', '19L47']",0.0,0.44211410869774026,0.22105705434887013,0.22105705434887013,0.13308960822426566
23,5643956,"['18A22', '46L35', '46M15', '19K14', '19K35', '20E36']","['18A22', '19K14', '46L35', '46L80']","['46L35', '46L80', '15A21', '62H30', '17B30', '14J10', '05C25', '34C14', '37C15', '51H10']","['46L05', '22D10', '46K10', '46L08', '46L35', '46L80', '19K35', '46M20', '46M40', '20F22']",0.6684958806128976,0.5081822345924834,0.2812887631375718,0.5081822345924834,0.6064780966118957
24,5643957,"['35B40', '35S30', '58J45', '35Q75', '35Q40']","['58J45', '35L05', '58J40', '58J47']","['81Q05', '35Q40', '35Q53', '35L70', '35Q55', '83C47', '81T20', '35L20', '65M12', '35L05']","['83C20', '53Z05', '83C05', '83C30', '83C35', '83E05', '53C25', '53C80', '58J60', '58J45']",0.2793773003253732,0.17626745124774681,0.08075815079571441,0.0,0.13060405893953442
25,5643959,"['35R35', '35Q31', '76B15', '76B03']","['76B15', '35Q31', '35R35']","['35R35', '35Q35', '35B65', '35J60', '76S05', '49Q05', '35K55', '53A10', '35K65', '76N10']","['76B15', '76B45', '76B03', '35Q35', '35B10', '76M99', '45B05', '76E99', '35R35', '76U05']",0.8650989215859609,0.3132306040001605,0.5641377133642353,0.1976265077928601,0.34967143491375374
26,5643960,"['32G05', '32W20', '32Q45']","['32G05', '32W20']","['32G05', '32W20', '32Q45']","['32H40', '32H35', '32G07', '53C15', '32A07', '32W05', '32V05', '32M05', '32F45', '32H99']",0.8189625508803525,1.0,0.0,0.0,0.5775792853874893
27,5643961,"['58J05', '35J99']","['58J60', '32L05', '35R01', '53C44', '58E20']","['35J05', '65N30', '65N15', '65N12', '65N06', '65F10', '65N55', '35J25', '65N35', '65N22']","['31C35', '31C12', '53C99', '58J50', '53C20', '58C40', '53C44', '53C55', '32Q20', '31A05']",0.0,0.0,0.0,0.0,0.0
28,5643963,"['13P25', '14M12', '62H25', '14M15']","['14M12', '13P25', '14M15']","['62H25', '62P15', '62E20', '62F12', '65C60', '62M20', '62J05', '62H20', '13P25', '14M12']","['13B25', '13E05', '13E15', '20B30', '06A07', '13C99', '13-02', '14M12', '14-01', '14M15']",0.9807030177932614,0.5886103116496622,0.2881704579356136,0.626461208000321,0.6870168569143413
29,5643964,"['14A20', '14D20', '14F43', '14L24', '14L30', '14D15']","['14D20', '14D23', '14L24']","['14A20', '14F05', '14D23', '14N35', '18E30', '18D10', '14F20', '14C35', '14H10', '14D20']","['14N35', '14A20', '53D45', '14L15', '14L24', '14L30', '14J15', '14B12', '14D23', '14H60']",0.6352277932406043,0.4009887266765541,0.3491185902010551,0.2540911172962417,0.5838247429610275
30,5643966,"['11J83', '11K60']","['11J83', '11K55']","['11J83', '11K60', '11J61', '11K38', '11K06', '11K36', '11K45', '37A17', '37A45', '11J70']","['11J81', '11K60', '11J13', '11J83', '11K55', '11J71', '11-02', '11J61', '37A45', '37J40']",0.44211410869774026,1.0,0.7482940739118885,1.1052852717443507,0.37381113578202935
31,5643968,['52A20'],"['52A05', '52A39']","['53A04', '52A10', '52A40', '53C44', '52A20', '53A05', '52A15', '26B25', '60D05', '52A38']","['52A40', '26D15', '46B20', '26B25', '52A20', '52A41', '52C07', '60F05', '52A21', '39B62']",0.0,0.38685280723454163,0.38685280723454163,0.6309297535714575,0.38685280723454163
32,5647952,"['54H05', '03E15', '28A05']","['03E15', '28A05', '54H05']","['54H05', '03E15', '28A05', '32B15', '54D05', '54C35', '54D55', '54A10', '54D10', '54D70']","['54A25', '06E15', '54A35', '28A05', '28-01', '54E52', '54H05', '26A03', '03E15', '03E50']",1.1336310719187659,1.0,0.49461961377892794,1.1336310719187659,0.43968068150165635
33,5647954,"['54C35', '54A35', '54A25']","['54A35', '54A25']","['54C35', '46E10', '54A25', '54E35', '06B35', '54D20', '54D65', '54E18', '54D30', '54C05']","['54B20', '54D55', '54C35', '54A10', '54B05', '54D50', '28A05', '28C15', '54E52', '54C60']",0.9525936227991185,0.5431123473589422,0.18103744911964742,0.36207489823929484,0.23363679859785125
34,5647955,"['54D15', '54B10', '54D99']","['54D15', '54B10']","['54D15', '54B10', '54D99']","['54-01', '54D15', '54H25', '54C20', '54A10', '54D35', '54G20', '54E35', '54D20', '54C10']",0.8189625508803525,1.0,0.22844382632052884,0.36207489823929484,0.4731766347071697
35,5647956,"['55U10', '20J05', '18G30', '55U35']","['18G30', '20J05', '55U10']","['18G30', '55U10', '18D35', '18G50', '06F20', '08B30', '55P35', '55Q05', '55R35', '20J05']","['55P15', '55U10', '20J05', '55N20', '55S45', '20E22', '55-02', '55P35', '55T05', '18G30']",0.8650989215859609,0.6919450120785275,0.6014010619357741,0.6457581902070597,0.4256540440598495
36,5647957,"['18D05', '20C99']","['18D05', '20C15']","['18D05', '20C99', '57R56', '53D50', '55N22', '17B37', '81R50', '14M15']","['57R56', '18D05', '53D50', '20C99', '55N22', '55R35', '55N91', '55N34', '17B37', '81R50']",0.44211410869774026,1.0,0.6597593108703873,1.1052852717443507,1.0746364000051092
37,5647959,"['57R17', '14J27', '14J28', '53D05', '57R22', '57R57']","['57R17', '53D35', '57R22', '57S17']","['57R17', '14J27', '14J28', '53D05', '57R22', '57R57', '53D45', '57R15', '58D15']","['57N13', '14J99', '57-02', '57S10', '57S15', '54H15', '58J20', '14H10', '57M10', '57R57']",0.38113667594436257,1.0,0.07344880469015619,0.2540911172962417,0.7377157431333166
38,5647960,"['55Q15', '57T99']",['55Q15'],"['57T20', '57S05', '81R10', '55P62', '55Q15', '57T99', '55P35', '13D07', '55P60', '22E46']","['22E15', '22E10', '15A66', '17B25', '22-01', '55P99', '55-02', '18A30', '18A35', '55P05']",0.44211410869774026,0.4860015301477029,0.0,0.0,0.31631866019620813
