N_gram,Relevance,Wikipedia_URL_correct,Wikidata_URL_correct,Wikipedia_article_Wikidump,eval1,Wikipedia_URL_Wikidump,eval2,Wikidata_item_Pywikibot,eval3,Wikidata_URL_Pywikibot,eval4,Wikidata_item_SPARQL,eval5,Wikidata_URL_SPARQL,eval6,comment
We study,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
study the,-,-,-,-,x,-,x,study,x,https://www.wikidata.org/wiki/Q340383,x,study,x,https://www.wikidata.org/wiki/Q28106657,x,-
the possibility,-,-,-,-,x,-,x,possibility,x,https://www.wikidata.org/wiki/Q7233418,x,-,x,-,x,-
possibility of,-,-,-,-,x,-,x,possibility,x,https://www.wikidata.org/wiki/Q7233418,x,-,x,-,x,-
of the,-,-,-,-,x,-,x,-,x,-,x,,x,https://www.wikidata.org/wiki/Q257834,x,-
the vortices,1,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,x,-,x,vortex,x,https://www.wikidata.org/wiki/Q732722,x,-,x,-,x,-
vortices formation,1/2,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,x,-,x,-,x,-,x,-,x,-,x,-
formation in,-,-,-,-,x,-,x,formation,x,https://www.wikidata.org/wiki/Q342542,x,-,x,-,x,-
in axion,1,https://en.wikipedia.org/wiki/Axion,https://www.wikidata.org/wiki/Q792548,-,x,-,x,axion,x,https://www.wikidata.org/wiki/Q792548,x,-,x,-,x,-
axion condensate,1,https://en.wikipedia.org/wiki/Axion,,-,x,-,x,-,x,-,x,-,x,-,x,-
condensate on,1,https://en.wikipedia.org/wiki/Bose%E2%80%93Einstein_condensate,https://www.wikidata.org/wiki/Q46202,-,x,-,x,condensate,x,https://www.wikidata.org/wiki/Q1781176,x,condensate,x,https://www.wikidata.org/wiki/Q2328318,x,-
on the,-,-,-,-,x,-,x,-,x,-,x,-,x,-,x,-
the galactic,1,https://en.wikipedia.org/wiki/Galaxy,https://www.wikidata.org/wiki/Q318,-,x,-,x,galactic,x,https://www.wikidata.org/wiki/Q851926,x,-,x,-,x,-
galactic scale,1,https://en.wikipedia.org/wiki/Spatial_scale,https://www.wikidata.org/wiki/Q3822724,-,x,-,x,-,x,-,x,-,x,-,x,-
