Tuple,Relevance,Wikipedia_URL_correct,Wikidata_URL_correct,Wikipedia_article_Wikidump,eval1,Wikipedia_URL_Wikidump,eval2,Wikidata_item_Pywikibot,eval3,Wikidata_URL_Pywikibot,eval4,Wikidata_item_SPARQL,eval5,Wikidata_URL_SPARQL,eval6,comment
We study,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
study the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the possibility,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
possibility of,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
of the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the vortices,1,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
vortices formation,1/2,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
formation in,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
in axion,1,https://en.wikipedia.org/wiki/Axion,https://www.wikidata.org/wiki/Q792548,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
axion condensate,1,https://en.wikipedia.org/wiki/Axion,,,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
condensate on,1,https://en.wikipedia.org/wiki/Bose%E2%80%93Einstein_condensate,https://www.wikidata.org/wiki/Q46202,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
on the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the galactic,1,https://en.wikipedia.org/wiki/Galaxy,https://www.wikidata.org/wiki/Q318,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
galactic scale,1,https://en.wikipedia.org/wiki/Spatial_scale,https://www.wikidata.org/wiki/Q3822724,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,"Choose ""Spatial_scale"" "
scale Such,1,https://en.wikipedia.org/wiki/Spatial_scale,https://www.wikidata.org/wiki/Q3822724,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
Such vortices,1,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
vortices can,1,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
can occur,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
occur as,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
as a,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
a result,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
result of,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
of global,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
global rotation,1/2,https://en.wikipedia.org/wiki/Rotation,https://www.wikidata.org/wiki/Q107617,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
rotation of,1,https://en.wikipedia.org/wiki/Rotation,https://www.wikidata.org/wiki/Q107617,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
of the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the early,-,-,-,the early,FP,https://en.wikipedia.org/wiki/the_early,FP,-,TN,-,TN,-,TN,-,TN,
early universe,1,https://en.wikipedia.org/wiki/Chronology_of_the_universe#Early_universe,https://www.wikidata.org/wiki/Q136407,early universe,TP,https://en.wikipedia.org/wiki/early_universe,TP,-,FN,https://www.wikidata.org/wiki/Q136407,TP,-,FN,-,FN,-
universe We,1,https://en.wikipedia.org/wiki/Universe,https://www.wikidata.org/wiki/Q1,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
We study,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
study analytical,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
analytical models,1/2,https://en.wikipedia.org/wiki/Model,https://www.wikidata.org/wiki/Q234018,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
models of,1,https://en.wikipedia.org/wiki/Model,https://www.wikidata.org/wiki/Q234018,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
of vortices,1,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
vortices and,1,https://en.wikipedia.org/wiki/Vortex,https://www.wikidata.org/wiki/Q732722,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
and calculate,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,"choose ""Calculation"""
calculate exemplary,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
exemplary galaxy,1/2,https://en.wikipedia.org/wiki/Galaxy,https://www.wikidata.org/wiki/Q318,-,FN,-,FN,-,FN,-,FN,-,FN,-,FN,-
galaxy rotation,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
rotation curves,1,https://en.wikipedia.org/wiki/Galaxy_rotation_curve,https://www.wikidata.org/wiki/Q1475614,rotation curves,TP,https://en.wikipedia.org/wiki/rotation_curves,TP,-,FN,-,FN,-,FN,-,FN,-
curves Depending,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
Depending on,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
on the,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
the setup,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
setup it,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
it is,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
is possible,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
possible to,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
to obtain,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
obtain a,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
a variety,-,-,-,-,TN,-,TN,-,TN,-,TN,-,TN,-,TN,-
